DGPHUAG019,DGPHUCU001,GigabitEthernet2/1/9,Eth-Trunk47,-6.57,-2.11,DGPPXDGPCICUF01,GigabitEthernet0/2/0/44,Bundle-Ether5001,-6.18,1.46,1G SFP EX
DGPPB018RADE001,DGPHUCU001,GigabitEthernet6/1/15,GigabitEthernet6/1/15,7.72 dBm,,DGPPXDGPCICUF01,GigabitEthernet0/1/0/43,GigabitEthernet0/1/0/43,-9.06,-6.05,1G SFP LX
DGPHUDE016,DGPHUCU001,GigabitEthernet4/1/1,Eth-Trunk110,-8.30,-6.19,DGPPXDGPCICUF01,GigabitEthernet0/1/0/41,Bundle-Ether1002,-7.84,-5.78,1G SFP LX
DGPHUDE019,DGPHUCU001,GigabitEthernet2/1/7,Eth-Trunk113,-8.14,-6.23,DGPPXDGPCICUF01,GigabitEthernet0/1/0/42,Bundle-Ether1003,-8.43,-5.91,1G SFP LX
DGPHUDE014,DGPHUCU001,GigabitEthernet6/1/17,Eth-Trunk109,-9.12,-6.49,DGPPXDGPCICUF01,GigabitEthernet0/2/0/47,Bundle-Ether1001,-8.89,-5.91,1G SFP LX
DGPHUAG010,DGPHUCU001,GigabitEthernet2/1/19,Eth-Trunk45,-8.19,-6.32,DGPPXDGPCICUF01,GigabitEthernet0/1/0/47,Bundle-Ether5000,-7.83,-5.80,1G SFP LX
