HIPR0002_NGNSIG,11113,IPR30012_NGNSIG,11109
HIPR0044_HUANMS,5212,IPR30044_HUANMS,5313
HIPR0076_IPTV,2157,IPR30076_IPTV,2468
HIPR9983_RADNMS,3340,IPR39983_RADNMS,3350
IPR0000_IPBB-NMS,6930,CIPR20000_TNTMGMT_H00,7970
HIPR10001_IUBX,11213,IPR40001_IUB,570
HIPR10002_SYNCX,26478,IPR40002_SYNC,11819
HIPR10003_OAMX,47600,IPR40003_OAM,40472
HIPR10004_S1,55615,IPR40004_S1,36692
HIPR10000_ABISX,11848,IPR40000_ABIS,769
