VRF name,Prefix,RT values
maxis_MC_AUP,10.155.4.24/29,"65535:60960, 65535:60964"
maxis_MC_AUP,10.155.4.128/26,"65135:63302, 65135:65862, 65147:63302, 65147:65862, 65535:60923, 65535:60960, 65535:60964, 65535:65521, 65535:66381"
maxis_MC_AUP,10.155.5.24/29,"65535:60960, 65535:60964"
maxis_MC_AUP,10.155.5.128/26,"65535:60960, 65535:60964"
maxis_MC_AUP,10.155.6.24/29,"65535:60960, 65535:60964"
maxis_MC_AUP,10.155.6.128/26,"65535:60960, 65535:60964"
maxis_MC_AUP,10.155.7.24/29,"65535:60960, 65535:60964"
maxis_MC_AUP,10.155.7.128/26,"65535:60960, 65535:60964"
maxis_MC_AUP,10.156.3.24/29,"65535:60960, 65535:60964"
maxis_MC_AUP,10.156.3.192/26,"65143:63302, 65143:65862, 65146:63302, 65146:65862, 65535:60923, 65535:60960, 65535:60964, 65535:66381"
maxis_MC_AUP,10.156.4.24/29,"65535:60960, 65535:60964"
maxis_MC_AUP,10.156.4.192/26,"65535:60923, 65535:60960, 65535:60964, 65535:66381"
maxis_MC_AUP,10.156.6.24/29,"65535:60960, 65535:60964"
maxis_MC_AUP,10.156.6.192/26,"65535:60960, 65535:60964"
maxis_MC_AUP,10.156.128.165/32,"65535:60920, 65535:60922"
maxis_MC_AUP,10.156.128.176/29,"65535:60920, 65535:60922"
maxis_MC_AUP,10.156.129.165/32,"65123:63302, 65123:65862, 65133:63302, 65133:65862, 65535:60920, 65535:60922, 65535:66002, 65535:66381"
maxis_MC_AUP,10.156.129.176/29,"65535:60920, 65535:60922"
maxis_MC_AUP,10.156.130.165/32,"65535:60920, 65535:60922"
maxis_MC_AUP,10.156.130.176/29,"65535:60920, 65535:60922"
maxis_MC_AUP,10.156.132.165/32,"65535:60920, 65535:60922"
maxis_MC_AUP,10.156.132.176/29,"65535:60920, 65535:60922"
maxis_MC_AUP,10.156.133.165/32,"65123:63302, 65123:65862, 65133:63302, 65133:65862, 65535:60920, 65535:60922, 65535:66002, 65535:66381"
maxis_MC_AUP,10.156.133.176/29,"65535:60920, 65535:60922"
maxis_MC_AUP,10.156.140.160/30,"65535:11250, 65535:60920, 65535:60922"
maxis_MC_AUP,10.156.140.164/30,"65535:11250, 65535:60920, 65535:60922"
maxis_MC_AUP,10.156.140.205/32,"65535:11250, 65535:60920, 65535:60922"
maxis_MC_AUP,10.156.140.206/32,"65535:11250, 65535:60920, 65535:60922"
maxis_MC_AUP,10.156.142.160/30,"65535:11250, 65535:60920, 65535:60922"
maxis_MC_AUP,10.156.142.164/30,"65535:11250, 65535:60920, 65535:60922"
maxis_MC_AUP,10.156.142.205/32,"65535:11250, 65535:60920, 65535:60922"
maxis_MC_AUP,10.156.142.206/32,"65535:11250, 65535:60920, 65535:60922"
maxis_MC_AUP,10.156.144.160/30,"65535:11250, 65535:60920, 65535:60922"
maxis_MC_AUP,10.156.144.164/30,"65535:11250, 65535:60920, 65535:60922"
maxis_MC_AUP,10.156.144.176/30,"65535:11250, 65535:60920, 65535:60922"
maxis_MC_AUP,10.156.144.180/30,"65535:11250, 65535:60920, 65535:60922"
maxis_MC_AUP,10.156.144.205/32,"65535:11250, 65535:60920, 65535:60922, 65535:65521, 65535:65862, 65535:66381"
maxis_MC_AUP,10.156.144.206/32,"65535:11250, 65535:60920, 65535:60922, 65535:65521, 65535:65862, 65535:66381"
maxis_MC_AUP,10.156.144.213/32,"65535:11250, 65535:60920, 65535:60922, 65535:65521, 65535:65862, 65535:66381"
maxis_MC_AUP,10.156.144.214/32,"65535:11250, 65535:60920, 65535:60922, 65535:65521, 65535:65862, 65535:66381"
maxis_MC_AUP,10.156.145.160/30,"65535:11250, 65535:60920, 65535:60922"
maxis_MC_AUP,10.156.145.164/30,"65535:11250, 65535:60920, 65535:60922"
maxis_MC_AUP,10.156.145.176/30,"65535:11250, 65535:60920, 65535:60922"
maxis_MC_AUP,10.156.145.180/30,"65535:11250, 65535:60920, 65535:60922"
maxis_MC_AUP,10.156.145.205/32,"65535:11250, 65535:60920, 65535:60922"
maxis_MC_AUP,10.156.145.206/32,"65535:11250, 65535:60920, 65535:60922"
maxis_MC_AUP,10.156.145.213/32,"65535:11250, 65535:60920, 65535:60922"
maxis_MC_AUP,10.156.145.214/32,"65535:11250, 65535:60920, 65535:60922"
maxis_MC_AUP,10.156.236.252/30,"65535:11250, 65535:60920, 65535:60922"
maxis_MC_AUP,10.156.237.184/30,"65535:60960, 65535:60962, 65535:60964"
maxis_MC_AUP,10.156.237.204/30,"65535:60960, 65535:60962, 65535:60964"
maxis_MC_AUP,10.159.81.56/30,"65535:11250, 65535:60920, 65535:60922"
maxis_MC_AUP,10.221.33.160/28,"65535:11050, 65535:11054, 65535:26302, 65535:60021, 65535:60041, 65535:60081, 65535:60083, 65535:60085, 65535:60201, 65535:60382, 65535:60384, 65535:60601, 65535:60881, 65535:60921, 65535:60961, 65535:60963, 65535:60965, 65535:61072, 65535:61074, 65535:61481, 65535:61521, 65535:61522, 65535:61582, 65535:61722, 65535:62522, 65535:62981, 65535:63302, 65535:63362, 65535:64663, 65535:64861, 65535:65521, 65535:65862, 65535:66382, 65535:66501"
maxis_MC_AUP,10.221.34.0/24,"65535:11050, 65535:11054, 65535:26302, 65535:60021, 65535:60041, 65535:60081, 65535:60083, 65535:60085, 65535:60201, 65535:60382, 65535:60384, 65535:60601, 65535:60881, 65535:60921, 65535:60961, 65535:60963, 65535:60965, 65535:61072, 65535:61074, 65535:61481, 65535:61521, 65535:61522, 65535:61582, 65535:61722, 65535:62522, 65535:62981, 65535:63302, 65535:63362, 65535:64663, 65535:64861, 65535:65521, 65535:65862, 65535:66382, 65535:66501"
