VRF name,Prefix,RT values
maxis_MC_ACP,10.48.18.56/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.57/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.58/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.59/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.60/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.61/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.62/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.63/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.64/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.65/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.66/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.67/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.68/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.69/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.70/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.71/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.72/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.73/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.74/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.75/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.76/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.77/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.78/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.79/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.80/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.81/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.82/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.83/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.84/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.85/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.86/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.87/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.88/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.89/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.90/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.91/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.92/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.93/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.94/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.95/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.96/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.97/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.98/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.99/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.100/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.101/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.102/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.103/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.104/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.105/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.106/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.107/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.108/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
