+++ KPGUER01-ASR9K with via 'cli': executing command 'show ip interface brief' +++
show ip interface brief
Wed Jun  5 20:07:44.448 MYT

Interface                      IP-Address      Status          Protocol Vrf-Name
Bundle-Ether3.500              10.151.62.181   Shutdown        Down     OM_FMC  
Bundle-Ether3.601              10.151.62.138   Shutdown        Down     LTE_S6a 
Bundle-Ether303.3              unassigned      Down            Down     default 
Bundle-Ether5.130              10.241.250.34   Down            Down     EAP_VRF 
Bundle-Ether5.131              10.241.250.38   Down            Down     P_EAP_VRF
Bundle-Ether5.132              10.241.250.42   Down            Down     Premier_VRF
Bundle-Ether5.133              10.241.250.46   Down            Down     CelcomWiFi_VRF
Bundle-Ether5.134              10.241.250.50   Down            Down     BC_EAP_VRF
Bundle-Ether5.135              10.241.250.54   Down            Down     P_BC_VRF
Bundle-Ether5.136              10.241.250.58   Down            Down     OLNO_M_VRF
Bundle-Ether5.137              10.241.250.62   Down            Down     OLNO_M_EAP_VRF
Bundle-Ether5.138              10.241.250.202  Down            Down     GENERIC_SSID_VRF
Bundle-Ether5.185              10.200.52.198   Down            Down     ENT_GLB_FORWAY
Bundle-Ether5.200              10.152.30.1     Down            Down     IuH_Intranet
Bundle-Ether5.209              unassigned      Down            Down     default 
Bundle-Ether5.300              10.242.2.82     Down            Down     SAT_OM  
Bundle-Ether5.339              unassigned      Shutdown        Down     ENT_CPE_OM
Bundle-Ether5.342              unassigned      Down            Down     default 
Bundle-Ether5.348              unassigned      Down            Down     default 
Bundle-Ether5.400              10.159.208.246  Down            Down     ENT_Internet_HUB
Bundle-Ether5.402              10.159.213.6    Down            Down     ENT_CPE_OM
Bundle-Ether5.403              10.159.213.2    Down            Down     ENT_SIME_DARBY
Bundle-Ether5.405              10.159.213.10   Down            Down     ENT_EDOTCOJ
Bundle-Ether5.411              10.159.213.18   Down            Down     ENT_AUMKAR
Bundle-Ether5.413              10.159.208.102  Down            Down     ENT_Government
Bundle-Ether5.414              10.159.213.22   Down            Down     ENT_VOBB
Bundle-Ether5.415              10.200.145.29   Down            Down     ENT_MTRADE_AUDIOCODE
Bundle-Ether5.417              10.159.213.26   Down            Down     ENT_LLM_LLB
Bundle-Ether5.419              10.200.136.189  Down            Down     ENT_LLM_MEX
Bundle-Ether5.500              unassigned      Down            Down     default 
Bundle-Ether5.998              unassigned      Down            Down     default 
Bundle-Ether8.302              10.151.59.9     Up              Up       HSI_TM  
Bundle-Ether8.303              10.151.59.17    Up              Up       HSI_Jalenas
Bundle-Ether8.304              10.151.59.25    Up              Up       HSI_TSERBA
Bundle-Ether8.305              10.151.59.33    Up              Up       HSI_FIBERHOME
Bundle-Ether8.309              10.151.59.65    Up              Up       SVCS_FW 
Bundle-Ether8.328              10.151.59.241   Shutdown        Down     WTTx_LTM
Bundle-Ether8.329              10.215.240.105  Up              Up       HSI_FMC_CP
Bundle-Ether8.350              10.159.235.249  Up              Up       CD_GI_MMS
Bundle-Ether8.380              10.215.240.210  Up              Up       OM_FMC  
Bundle-Ether8.381              10.151.56.50    Up              Up       SD      
Bundle-Ether8.382              10.151.56.66    Up              Up       SD      
Bundle-Ether8.390              10.151.56.2     Up              Up       SD      
Bundle-Ether8.500              unassigned      Up              Up       default 
Bundle-Ether90.56              unassigned      Up              Up       default 
Bundle-Ether90.57              unassigned      Up              Up       default 
Bundle-Ether90.58              unassigned      Up              Up       default 
Bundle-Ether90.62              unassigned      Up              Up       default 
Bundle-Ether1.1049             unassigned      Down            Down     default 
Bundle-Ether1.3000             10.159.201.2    Down            Down     VPN_OM  
Bundle-Ether1.3001             10.200.68.238   Shutdown        Down     SD      
Bundle-Ether10.901             10.221.33.177   Shutdown        Down     ISC_UP  
Bundle-Ether21.210             10.151.81.74    Up              Up       Webe_LTE_MOCN
Bundle-Ether23.100             unassigned      Up              Up       default 
Bundle-Ether23.200             unassigned      Up              Up       default 
Bundle-Ether23.300             unassigned      Up              Up       default 
Bundle-Ether25.100             unassigned      Up              Up       default 
Bundle-Ether25.200             unassigned      Up              Up       default 
Bundle-Ether25.300             unassigned      Up              Up       default 
Bundle-Ether3.1400             10.156.236.5    Shutdown        Down     SIGTRAN 
Bundle-Ether3.1440             10.151.62.106   Shutdown        Down     SBC_SIP_EXT
Bundle-Ether3.1441             10.151.62.114   Shutdown        Down     BGF_MEDIA_EXT
Bundle-Ether3.1442             10.151.62.165   Shutdown        Down     ALTEL_BGF_MEDIA
Bundle-Ether3.1444             10.124.231.177  Shutdown        Down     SD      
Bundle-Ether3.1445             10.156.237.114  Shutdown        Down     P1_Media
Bundle-Ether3.1446             10.151.66.2     Shutdown        Down     Digi_BGF_Media
Bundle-Ether3.1447             10.151.66.14    Shutdown        Down     LTE     
Bundle-Ether3.1448             10.122.253.154  Shutdown        Down     LTE_S6a 
Bundle-Ether4.1201             10.124.6.221    Up              Up       UNIP_OM 
Bundle-Ether4.1203             10.124.6.1      Up              Up       SD      
Bundle-Ether4.1205             10.221.210.1    Up              Up       SIGTRAN 
Bundle-Ether4.1207             10.221.210.13   Up              Up       MSS_OM  
Bundle-Ether4.1209             10.221.210.25   Up              Up       CN      
Bundle-Ether4.1211             10.221.210.37   Up              Up       ISC_UP  
Bundle-Ether4.1213             10.124.6.13     Up              Up       EIR_SIGTRAN
Bundle-Ether4.1215             10.124.6.25     Up              Up       EUREKA_SIGTRAN
Bundle-Ether4.1217             10.124.6.37     Up              Up       EUREKA_SIP
Bundle-Ether4.1219             10.124.6.49     Up              Up       EUREKA_OM
Bundle-Ether4.1221             10.124.6.61     Up              Up       WTTx_LTM
Bundle-Ether4.1223             10.124.6.73     Up              Up       NGM     
Bundle-Ether4.1225             10.124.6.85     Up              Up       MPS_SIGTRAN
Bundle-Ether4.1227             10.124.6.97     Up              Up       MPS_EXT 
Bundle-Ether4.1229             10.124.6.109    Up              Up       NOC     
Bundle-Ether4.1231             10.124.6.121    Up              Up       XOX_MVNO
Bundle-Ether4.1233             10.124.6.133    Up              Up       MPS_OM  
Bundle-Ether4.1235             10.124.6.145    Up              Up       RED_ONE_MVNO
Bundle-Ether4.1237             10.221.210.49   Up              Up       probe   
Bundle-Ether4.1239             10.221.210.61   Up              Up       probe_om
Bundle-Ether4.2000             10.159.235.82   Up              Up       CD_SFW_om
Bundle-Ether4.2100             10.159.235.94   Up              Up       CD_SFW_prod
Bundle-Ether4.2200             10.159.235.86   Up              Up       CD_SFW_sigtran
Bundle-Ether4.2300             10.159.235.90   Up              Up       CD_SFW_diameter
Bundle-Ether7.1460             10.221.204.129  Up              Up       CN      
Bundle-Ether7.1461             10.221.204.133  Up              Up       SIGTRAN 
Bundle-Ether7.1462             10.221.204.137  Up              Up       SBC_SIP_EXT
Bundle-Ether7.1463             10.221.204.141  Up              Up       MSS_OM  
Bundle-Ether7.1464             10.221.204.145  Up              Up       ALTEL_BGF_MEDIA
Bundle-Ether7.1465             10.221.204.149  Up              Up       P1_Media
Bundle-Ether7.1466             10.221.204.209  Up              Up       YTL_SBC_Media
Bundle-Ether7.1467             10.221.204.89   Up              Up       Digi_BGF_Media
Bundle-Ether7.1468             10.221.129.101  Up              Up       Redtone_OLNOS_Media
Bundle-Ether7.1469             10.221.204.153  Up              Up       umobile_interconnect
Bundle-Ether7.1470             10.221.204.157  Up              Up       MSS_OM  
Bundle-Ether7.1471             10.221.204.193  Up              Up       TIME_SBC_SIP_Media
Bundle-Ether7.1472             10.221.204.201  Up              Up       TM_SBC_Media
Bundle-Ether7.1473             10.221.204.217  Up              Up       Webe_SBC_Media
Bundle-Ether10.1402            10.221.32.1     Shutdown        Down     SIGTRAN 
Bundle-Ether10.1404            10.221.35.66    Shutdown        Down     IP_OM   
Bundle-Ether10.1405            10.221.35.2     Shutdown        Down     MSS_OM  
Bundle-Ether10.1406            10.221.32.65    Shutdown        Down     SIGTRAN 
